外资卖出金额大幅减少净  东方财富、贵州茅台依旧被卖,03-17
$腾讯控股(HK|00700)$3.16～,03-17
$腾讯控股(HK|00700)$小心回调,03-17
事关2亿人 微信支付联合微保推出的数字化解决方案值得关注,03-17
国务院金融委：稳妥推进并尽快完成大型平台公司整改工作,03-17
$腾讯控股(HK|00700)$十年前听段永平的买了苹果，贵州茅台，巴菲特公司并,03-17
腾讯暴涨23%，一天回本,03-17
资深财经自媒体人,03-17
主力资金大买200亿  助力指数反攻成功,03-16
改了! 微信、抖音、淘宝、今日头条等关闭了这一按钮,03-16
牛市来了[哈欠],03-16
今天牛逼,03-16
美股中概股大涨，腾讯概念大涨25%，明天回到400,03-16
中概、恒指跌出天际，未来的希望在哪里？谁给了我贪婪的勇气？,03-16
怎么办啊。488的本。亏了23万了。。。,03-16
如果腾讯继续暴跌50%,03-16
$腾讯控股(HK|00700)$盈利能力不支持这么高的股价，最多200元！,03-16
惊天大利好！散户如何预判与把握突发行情？,03-16
腾讯控股获南向资金连续10天净买入,03-16
$腾讯控股(HK|00700)$这波下跌，就是为了杀韭菜而设计的,03-16
腾讯创下297港元近4年来的新低！机会难逢！,03-16
中概股投资近期中概股下跌绵绵不绝，但对投资者来说却属于天上下金子的时期，即使手头,03-16
明天又是上涨的一天,03-16
$腾讯控股(HK|00700)$一天就能回血我的小企鹅爱你,03-16
$腾讯控股(HK|00700)$今天大家都加仓了吗？多少价位加的？,03-16
风险？什么风险，我看得到只有遍地黄金,03-16
游戏又迎强监管！限制未成年人网游、直播消费额,03-16
始料未及的大跌，又一次刷新了很多人的三观，之前的支撑线、生命线全都不管用了，过往,03-16
如果中概股退市，会血本无归么？,03-16
$腾讯控股(HK|00700)$反正阿里也在搞的东数西算，港股通互联网ETF15,03-16
今天是带了多少韭菜入坑啊，明天直接底开70个点，一个都跑不了，然后收盘价100元,03-16
$腾讯控股(HK|00700)$我在260等着你,03-16
暴力反弹！别小看我大“十分”,03-16
不以涨喜，不以跌悲~,03-16
恒生科技指数涨近18% 腾讯控股、阿里巴巴均涨超20%,03-16
一根大阳线，千军万马来相见！,03-16
陌上春归！A股政策底显现，为何不会是一日游？,03-16
知名财经自媒体,03-16
抄底时机不买没机会，这么便宜的筹码。不捡是傻瓜明年又要新高,03-16
港股V型反弹！腾讯阿里美团京东总市值増约1.47万亿港元,03-16
北京猎云万罗科技有限公司,03-16
写在中概股、中概互联基金危难之际,03-16
市场全线上涨，反转买入时机在哪？,03-16
财经自媒体,03-16
老段腾讯马上要跌到300了快点来买呀[呲牙][呲牙],03-16
国务院研究了宏观经济、中概股等问题，释放了哪些信号？,03-16
如何面对大幅波动的港通互联网,03-16
富国基金管理有限公司,03-16
涨停、跌停再涨停，“妖股”上演“天地天板”！股民直呼“好刺激！第一次见”,03-16
华宝基金管理有限公司,03-16
乌拉！,03-16
恒生科技指数创单日最大涨幅？段永平真成功抄底了？,03-16
"2022年3月16日百万实盘日志(197W, +15.7W)",03-16
你可以永远相信国家,03-16
$腾讯控股(HK|00700)$雪崩时，没有一片雪花觉得自己有责任。,03-16
快手今年是真的惨了,03-16
恐慌制造机会 段永平要减仓“伯克希尔”转买腾讯 类似2014年茅台机会出现？,03-16
腾讯控股连续10天获南向资金净买入,03-16
$腾讯控股(HK|00700)$这是谁拉高让段永平跑的，他又做了一手好套,03-16
$腾讯控股(HK|00700)$这是谁拉高让段永平跑的，他又做了一手好套,03-16
港股的行情其实情绪面大于基本面,03-16
吓的我把仓位全清了，这小跌5个点，指数都得跌至少3%，个股又是10个点起步跌幅,03-16
$腾讯控股(HK|00700)$港股买不起啊[哭][哭],03-16
明天又是涨的一天,03-16
恒生科技指数涨幅一度涨20% 多股涨幅超30%,03-16
2022年3月16日复盘（昨日分析验证，致新关注的朋友：结构分析是什么？）,03-16
涨停复盘：162股跌停!  抗疫板块失去最后的龙头标杆！,03-16
“把茅台集团董事长灌醉了给我定价权！”潘长江：根本没说过这句话！茅台集团：宣传不属实！,03-16
华宝基金管理有限公司,03-16
$腾讯控股(HK|00700)$第一次买港股，为啥我持仓里现价才287，是t+1,03-16
不出所料，恒生科技大涨,03-16
还是港股好玩！,03-16
易讯通，马上要从三板上市创业板，快入手。,03-16
港股全线大反攻！港股互联网ETF（513770）封死涨停，标的指数飙升23.49%，明天怎么走？,03-16
中概股和港股通互联网发生联动效应,03-16
富国基金管理有限公司,03-16
港股全线大反攻！港股互联网ETF（513770）封死涨停，标的指数飙升23.49%，明天怎么走？,03-16
华宝基金管理有限公司,03-16
港股全线大反攻！港股互联网ETF（513770）封死涨停，标的指数飙升23.49%，明天怎么走？,03-16
超级巴飞特自媒体平台,03-16
$腾讯控股(HK|00700)$卖了一股伯克希尔补仓腾讯,03-16
$腾讯控股(HK|00700)$段永平真神人！！！！！,03-16
南向资金继续大幅流入港股市场,03-16
富国基金管理有限公司,03-16
逢低加仓，就当做波段了,03-16
$腾讯控股(HK|00700)$巨阳！,03-16
等恒生互联网跌到位了继续加仓,03-16
近期数字经济表现火爆，产业数字化升级是互联网企业一大增长点。,03-16
大厂裁员？真相都在这里,03-16
又不是要把互联网公司打死了，总是杞人忧天干什么,03-16
做空鱼尾行情，明显有短线资金参与，各种管理办法落地，后续加码概率不大了，做空趁还,03-16
大奇迹日来了！港股科技股猛烈反攻！恒科指暴涨超22% B站涨逾40% 京东、快手涨超30%,03-16
恒生科技在等一年吧，估计明年会好过点,03-16
$腾讯控股(HK|00700)$今天回血8万，还差我8万[哭]在路上[哭],03-16
现在港股通159711现在建仓的位置还是很低的,03-16
水准差的一踏湖涂，还哂个球,03-16
现在港股是比较合适的配置时机了，看看这反弹力度,03-16
比股价上涨更重要的是——2022年3月16日股市收评,03-16
腾讯控股盘中拉升涨近9% 最新总市值为3.11万亿港元,03-16
老段也不是神，资本大佬哪有好人。,03-16
$腾讯控股(HK|00700)$ADR又跌了那么多，明天腾讯怎么办，怎么办,03-16
$腾讯控股(HK|00700)$有方丈在就不能太放肆[大笑],03-16
#段永平抄底腾讯，你要不要抄底段永平？#抄毛,03-16
送的京东股票什么时候到账？,03-16
港股开盘｜恒指跌3.07% 恒生科技指数跌5.54% 腾讯跌超8%,03-16
信心比黄金更重要,03-16
知名财经自媒体,03-16
$腾讯控股(HK|00700)$今天进的，明天会不会被活埋,03-16
这一大波洗尽铅华，后势可期,03-16
$腾讯控股(HK|00700)$直接拉20%以上哦,03-16
鹅厂：把我跌没了，就剩个鸟了[捂脸],03-16
段永平要卖苹果买腾讯，港股大涨；康师傅启动下架回收股价跌幅收窄；特步全年收入创下百亿元新纪录|中企十条,03-16
美速通商务咨询上海有限公司北京分公司,03-16
大跌之后大涨，中概股怎么了？,03-16
上海蔓盈信息科技有限公司,03-16
珍惜350的腾讯吧[奸笑],03-16
三百以下见,03-16
抬拉指数无任何意义，看多空投机取巧主流,03-16
$腾讯控股(HK|00700)$这个是t+0吗,03-16
腾讯控股(00700.HK)短线下挫，现跌超8%,03-16
底部放量要涨一丈,03-16
$腾讯控股(HK|00700)$299.2买的,03-16
京东、美团、阿里更刺激。,03-16
$腾讯控股(HK|00700)$稳妥推进并尽快完成大型平台公司整改工作，红灯、绿,03-16
$腾讯控股(HK|00700)$3.15晚会会聊什么？,03-16
$腾讯控股(HK|00700)$昨天是谁卖的？,03-16
$腾讯控股(HK|00700)$底部标准倒垂线,03-16
300以下的腾讯估计再也不会有了~,03-16
$腾讯控股(HK|00700)$这拉法再来个两三天不就回到历史高位了[呲牙],03-16
第一次遇见2天跌20%，也第一次遇见一天涨20%，真是牛,03-16
$腾讯控股(HK|00700)$原来还能涨幅还能超过10%啊！！！,03-16
腾讯跌破300港元！段永平：不等了！卖苹果、卖伯克希尔 “抄底”腾讯！,03-16
我就一个问题：今晚如果美股跌了，明天怎么办？,03-16
$腾讯控股(HK|00700)$怎么没涨停板[傲][傲][傲],03-16
$腾讯控股(HK|00700)$今天开盘之前说段不行的还比比皆是，现在又出来说是,03-16
牛逼的不要不要的[赞],03-16
$腾讯控股(HK|00700)$看外资的态度吧！外资不认可明天反杀,03-16
港股不应全面悲观,03-16
富国基金管理有限公司,03-16
$腾讯控股(HK|00700)$这肉吃的胆战心惊的，顶住压力[鼓掌],03-16
在这里唱多的，都是被套牢的。他不套牢，他根本不需要唱多。就好比，一个动物在吃东西,03-16
华鑫上海缺席龙虎榜，跌到AI机器人都不玩儿了？,03-16
盘中大涨超20%，抄底阿里、腾讯，段永平为什么这么敢“赌”？,03-16
财经自媒体,03-16
今天还会跌的，收盘6%—8%，哥们你有种。晚上美股大跌的话，关灯吃面。懂的哈。你,03-16
[图片],03-16
[图片],03-16
现在可以抄底腾讯了,03-16
这么大的量，这么大的涨幅，关键是大佬和机构在玩。,03-16
腾讯控股：约1.2亿股奖励股份行使权价调整,03-16
$腾讯控股(HK|00700)$别涨了，再涨我就回本了！,03-16
小心，非洲人开始出货了，他这时候出，是绝对明白人。,03-16
大奇迹日！,03-16
大奇迹日来了！港股科技股猛烈反攻！恒科指暴涨超20%,03-16
$腾讯控股(HK|00700)$看来380破不了了,03-16
大盘失守3100点，知名私募紧急解读：降低仓位，耐心等布局机会！,03-16
华宝基金管理有限公司,03-16
一年赚二千亿市值3.5万亿，值不值大家算算！,03-16
300以下的腾讯是绝版，400以下的腾讯要珍惜。,03-16
人生第一次，这么大的盘两天暴跌20%，一天又暴涨23%，大起大落，过山车！真刺激,03-16
厉害了，腾讯控股这两天成交金额达到大约700亿，龙头就是龙头,03-16
做股票三年多以来，今天首次观看最激烈的多空大战。刺激、兴奋、后悔。,03-16
$快手-W(HK|01024)$$腾讯控股(HK|00700)$你现在不出，晚上,03-16
$腾讯控股(HK|00700)$决胜气质，战场不止在边境线。对企鹅的做空，难道还,03-16
$腾讯控股(HK|00700)$300的腾讯真香,03-16
拉50点,03-16
都已经说400以下腾讯要珍惜。,03-16
腾讯控股大跌10%，跌破300港元关口,03-16
空头快来，该干活了,03-16
我滴乖乖,03-16
逼空大戏哈哈,03-16
$腾讯控股(HK|00700)$大反弹开始了，对于港股通互联网ETF159792,03-16
给我一个面子明天再来一次这样我就赚钱了～,03-16
这才叫反弹,03-16
上面还有那么多缺口，饭要一口一口吃。,03-16
想采访一下，昨天卖的，今天有什么感想。,03-16
宜将剩勇追穷寇，干爆空头,03-16
重磅利好！腾讯控股大涨！,03-16
政策底已出现，大胆抄底的第一个必要条件有了,03-16
段永平再度发声,03-16
明天给你跌成狗。,03-16
山重水复疑无路,03-16
明天再来一次才能回本,03-16
明天能涨吗？,03-16
抄了腾讯底的就别卖了，为什么要卖个外资？,03-16
段永平，是真牛逼,03-16
$腾讯控股(HK|00700)$段永平来了,03-16
腾讯控股经过这A五浪下跌之后，做出个底部，完了再进行一个大B浪反弹，第一目标位大,03-16
$腾讯控股(HK|00700)$哪位大神知道京东股票何时到账？谢谢,03-16
$腾讯控股(HK|00700)$300买的，309卖了，爽,03-16
段老板成功抄底了,03-16
$片仔癀(SH600436)$$贵州茅台(SH600519)$$腾讯控股(HK|,03-16
$腾讯控股(HK|00700)$本月探出的低点，就是今年的低点，月线漫步回中轨，,03-16
发生了什么？,03-16
长城基金曲少杰：已逼近2016年初的低点，30年来首次触及250月均线长期支撑位。,03-16
长城基金管理有限公司,03-16
佩服段永平！,03-16
哎，就差我那100股么？为了让我交筹码动用这么大资金。昨天割肉卖了，你满意了，今,03-16
港股跌回2008，底部最重要的不是加仓！,03-16
财经自媒体人,03-16
跌市窝轮交易往往忽略的因素,03-16
$腾讯控股(HK|00700)$求求你涨停，孙子跪下来求你了,03-16
$腾讯控股(HK|00700)$跌的时候天天跌涨的时候一日游,03-16
今天能不能涨30个点,03-16
恒生科技基金经理来信：理性操作、珍惜3000点的恒生科技,03-16
天弘基金管理有限公司,03-16
注入强心剂！A股、港股上演大逆转，4个积极信号正在释放,03-16
独立财经观察员,03-16
这大起大落,03-16
300买了，爽！！！,03-16
$腾讯控股(HK|00700)$牛逼,03-16
$腾讯控股(HK|00700)$一天就涨回来了,03-16
$腾讯控股(HK|00700)$诶，说对没买，羡慕死我了，跌的都有我的份儿，涨咋,03-16
港股互联网指数涨幅逼近23%，港股互联网ETF（513770）折价持续飙升！,03-16
超级巴飞特自媒体平台,03-16
$腾讯控股(HK|00700)$段永平一天回本了，真牛逼啊大师！,03-16
$腾讯控股(HK|00700)$逢高还得继续做空哈哈哈,03-16
港股互联网指数涨幅逼近23%，港股互联网ETF（513770）折价持续飙升！,03-16
港股互联网指数涨幅逼近23%，港股互联网ETF（513770）折价持续飙升！,03-16
华宝基金管理有限公司,03-16
撒了个尿，车就开走了！,03-16
$腾讯控股(HK|00700)$果然很牛逼！不愧是核心资产,03-16
就你作妖，赶紧跌停吧,03-16
$腾讯控股(HK|00700)$带头大哥牛逼，反攻,03-16
没钱，只买了2手,03-16
段永平绝对有内幕，前天买的，昨天救市失败，今天成功了，名利双收,03-16
干翻空头,03-16
打爆空狗,03-16
$腾讯控股(HK|00700)$反弹了跑了,03-16
$腾讯控股(HK|00700)$麻痹，331割肉，300没抄回来,03-16
段永平也玩政策底了[偷笑],03-16
$腾讯控股(HK|00700)$美团和阿里都比你高了,03-16
$腾讯控股(HK|00700)$明天再来20点空头,03-16
南向资金今日净买入64.72亿港元 抄底腾讯25.98亿,03-16
跌的狠！涨的也给力呀！,03-16
我就想买一手尝尝万亿市值股那种股东的感觉,03-16
$腾讯控股(HK|00700)$[梭哈][拳头],03-16
$腾讯控股(HK|00700)$不等我,03-16
【恒生科技指数大涨18%腾讯控股、阿里巴巴均涨超20%】恒生科技指数涨幅扩大18,03-16
北京鞭牛互动科技有限公司,03-16
